               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.030589,            0.010938,           0.0014116,             0.99844,             0.99548,               0.995,             0.62372,            0.026652,           0.0049065,          0.00063974,            0.007624,            0.007624,            0.007624
                  74,            0.030471,            0.010642,           0.0019947,             0.99301,               0.995,             0.99347,             0.63234,            0.026092,           0.0049561,          0.00059161,            0.007591,            0.007591,            0.007591
                  75,            0.031286,           0.0091665,           0.0012203,             0.99732,                   1,               0.995,             0.68912,            0.022506,           0.0045773,          0.00069231,            0.007558,            0.007558,            0.007558
                  76,            0.029218,            0.010129,           0.0036298,             0.99798,             0.99568,               0.995,             0.67383,            0.021976,            0.004619,           0.0007542,            0.007525,            0.007525,            0.007525
                  77,            0.028435,           0.0095328,           0.0014879,             0.99776,                   1,               0.995,             0.67902,            0.022318,            0.004718,          0.00056404,            0.007492,            0.007492,            0.007492
                  78,            0.030656,           0.0094863,           0.0013798,             0.98762,             0.99188,             0.99282,             0.69245,            0.024695,           0.0048561,          0.00055503,            0.007459,            0.007459,            0.007459
                  79,            0.030621,            0.011292,           0.0013053,             0.98994,               0.995,              0.9916,             0.67648,            0.022189,           0.0046719,          0.00064672,            0.007426,            0.007426,            0.007426
                  80,            0.029049,           0.0082697,           0.0021449,             0.98199,             0.99415,             0.99054,             0.64017,             0.02322,           0.0047146,          0.00062519,            0.007393,            0.007393,            0.007393
                  81,            0.028991,            0.010668,           0.0018984,             0.99238,             0.99355,             0.99173,             0.68788,            0.020012,           0.0046153,          0.00061177,             0.00736,             0.00736,             0.00736
                  82,            0.029865,           0.0099728,           0.0010814,             0.98464,             0.99454,             0.99059,             0.64146,            0.023866,           0.0047693,          0.00060152,            0.007327,            0.007327,            0.007327
                  83,             0.02913,           0.0099645,           0.0011802,             0.97794,             0.98194,             0.99029,             0.64243,            0.021529,           0.0048484,           0.0010994,            0.007294,            0.007294,            0.007294
                  84,            0.028862,            0.010568,           0.0012604,             0.97892,              0.9899,             0.99194,             0.63233,            0.022092,           0.0046885,          0.00072201,            0.007261,            0.007261,            0.007261
                  85,            0.028493,           0.0087113,           0.0011156,             0.99958,             0.99677,               0.995,             0.69452,            0.019675,           0.0045028,           0.0006125,            0.007228,            0.007228,            0.007228
                  86,            0.029856,           0.0095434,          0.00095814,             0.98892,             0.99687,             0.99497,             0.67631,            0.021012,           0.0046117,          0.00061235,            0.007195,            0.007195,            0.007195
                  87,            0.029524,           0.0096646,           0.0013691,             0.98937,             0.99102,             0.99469,             0.67207,            0.021789,           0.0048277,          0.00056843,            0.007162,            0.007162,            0.007162
                  88,            0.029027,           0.0096669,           0.0012422,             0.99693,              0.9841,             0.99469,             0.66894,             0.02216,           0.0047745,          0.00052381,            0.007129,            0.007129,            0.007129
                  89,              0.0298,            0.009375,           0.0012008,             0.99707,                   1,               0.995,               0.659,            0.020845,           0.0045648,           0.0005311,            0.007096,            0.007096,            0.007096
                  90,            0.029021,           0.0092465,           0.0013961,              0.9952,              0.9976,               0.995,             0.65627,            0.022499,            0.004521,          0.00053537,            0.007063,            0.007063,            0.007063
                  91,            0.028551,            0.010011,           0.0016288,              0.9872,             0.99859,             0.99489,             0.71232,            0.020113,           0.0044449,          0.00089357,             0.00703,             0.00703,             0.00703
                  92,            0.029357,             0.01006,           0.0011525,             0.99618,             0.99566,             0.99491,             0.66188,            0.022243,           0.0044701,          0.00096288,            0.006997,            0.006997,            0.006997
                  93,            0.029535,           0.0096142,           0.0014876,             0.99851,             0.99915,               0.995,             0.71376,            0.019288,           0.0043232,          0.00056092,            0.006964,            0.006964,            0.006964
                  94,            0.028168,           0.0098332,           0.0011217,             0.99361,             0.99188,             0.98859,             0.67599,            0.020997,            0.004307,          0.00053812,            0.006931,            0.006931,            0.006931
                  95,             0.02901,            0.010124,           0.0010794,             0.99879,             0.99621,               0.995,             0.70649,            0.019536,           0.0042089,          0.00056896,            0.006898,            0.006898,            0.006898
                  96,            0.026711,           0.0086096,           0.0011652,             0.99763,                   1,               0.995,             0.72231,              0.0189,           0.0041555,          0.00063112,            0.006865,            0.006865,            0.006865
                  97,            0.028491,           0.0089243,          0.00093886,             0.99266,             0.99687,              0.9946,             0.71668,            0.019007,           0.0042303,          0.00089653,            0.006832,            0.006832,            0.006832
